Date,TMax,TMin,Prcp
1950-06-19,81.8138683,45.0038695,0.0000000
1950-06-20,85.8098705,48.8738697,0.0040375
1950-06-21,75.8738697,48.8378688,0.0000000
1950-06-22,73.9118694,34.9238692,0.0000000
1950-06-23,68.8718708,37.8578694,0.0040375
1950-06-24,57.9098688,36.9398695,0.4190930
1950-06-25,71.8958679,32.9438692,0.0000000
1950-06-26,75.8558692,35.1218693,0.0000000
1950-06-27,80.8958679,41.9618694,0.0000000
1950-06-28,86.9618694,44.0498691,0.0000000
1950-06-29,91.8578682,51.9698684,0.0000000
1950-06-30,92.8478668,52.9958696,0.0000000
1950-07-01,88.7577417,50.9577417,0.0000000
1950-07-02,90.7377458,47.9697420,0.0000000
1950-07-03,89.8197420,51.9297433,0.0000000
1950-07-04,90.7737398,50.8317422,0.0000000
1950-07-05,88.7577417,48.8877424,0.0000000
1950-07-06,87.6417436,49.8957431,0.0000000
1950-07-07,81.7377424,48.5997427,0.0000000
1950-07-08,83.8977437,52.5237432,0.0000000
1950-07-09,81.7737432,43.0017424,0.0000000
1950-07-10,77.7777410,45.9537422,0.0000000
1950-07-11,78.8037439,38.0877424,0.0000000
1950-07-12,87.7317422,40.0677422,0.0000000
1950-07-13,89.8197420,44.9637427,0.0000000
1950-07-14,87.7497427,47.7897430,0.0000000
1950-07-15,86.6877424,46.7277427,0.0000000
1950-07-16,85.7157442,41.9397421,0.0000000
1950-07-17,85.6617429,44.0457423,0.0000000
1950-07-18,87.5697420,42.1017424,0.0000000
1950-07-19,79.7757421,41.9217426,0.0000000
1950-07-20,84.8517416,37.9977425,0.0000000
1950-07-21,87.8217409,44.0637427,0.0000000
1950-07-22,88.7757421,47.9337429,0.0000000
1950-07-23,91.7097406,47.9157424,0.0000000
1950-07-24,91.7817422,49.9677431,0.0000000
1950-07-25,90.8097406,48.9417419,0.0000000
1950-07-26,87.8217409,49.8957431,0.0000000
1950-07-27,85.7877424,44.8557428,0.0000000
1950-07-28,81.7557428,46.7457423,0.0000000
1950-07-29,74.7717409,32.8317425,0.0000000
1950-07-30,84.7617429,44.6937425,0.0000000
1950-07-31,87.7857435,40.9677422,0.0000000
1950-08-01,90.6962126,40.8542117,0.0000000
1950-08-02,88.7162119,48.7562123,0.0000000
1950-08-03,81.8942103,46.6682117,0.0000000
1950-08-04,70.3022128,43.7162119,0.1118884
1950-08-05,70.6802111,38.7122116,0.0000000
1950-08-06,78.6722121,40.5302111,0.0000000
1950-08-07,80.7422114,43.5542117,0.0000000
1950-08-08,80.6882102,39.0182117,0.0000000
1950-08-09,79.7882102,37.9562114,0.0000000
1950-08-10,84.6302111,39.1082116,0.0040248
1950-08-11,81.6962126,43.7882119,0.0000000
1950-08-12,82.7582129,42.7622116,0.0000000
1950-08-13,81.7502104,42.8342115,0.0000000
1950-08-14,81.8762099,39.9002113,0.0000000
1950-08-15,86.7182108,38.7662115,0.0000000
1950-08-16,94.6742110,41.0162119,0.0000000
1950-08-17,93.7202132,45.7862113,0.0000000
1950-08-18,92.6762099,45.9302111,0.0000000
1950-08-19,92.8022093,44.9582112,0.0000000
1950-08-20,93.6662085,43.0142113,0.0000000
1950-08-21,91.7402091,43.9142113,0.0000000
1950-08-22,88.4462126,43.9142113,0.0000000
1950-08-23,75.7562106,39.8462118,0.0000000
1950-08-24,81.6782122,42.8342115,0.0000000
1950-08-25,83.7122107,37.9382114,0.0000000
1950-08-26,88.7162119,43.9322117,0.0000000
1950-08-27,86.8082129,42.8702115,0.0000000
1950-08-28,89.6882102,43.9142113,0.0000000
1950-08-29,92.6582129,44.0582112,0.0000000
1950-08-30,92.6762099,44.0222112,0.0000000
1950-08-31,93.8102118,43.0502113,0.0000000
1950-09-01,95.9030536,46.1510547,0.0000000
1950-09-02,94.8050525,44.0450546,0.0000000
1950-09-03,86.7230529,46.7990541,0.0000000
1950-09-04,82.7270542,44.9270542,0.0000000
1950-09-05,84.7970535,31.1390544,0.0000000
1950-09-06,85.9850532,37.9250544,0.0000000
1950-09-07,79.8110561,47.5190551,0.0115044
1950-09-08,62.9270542,49.8230546,0.2224179
1950-09-09,72.8450546,49.7690551,0.0000000
1950-09-10,77.7950546,35.8370545,0.0000000
1950-09-11,78.7490558,41.8490541,0.0000000
